TimeInterval,Winners_Goals ,Draw_Goals,Losers_Goals,Round,Total_Goals,Home_Goals,Away_Goals,Scored_First_Won,Scored_First_Drew,Scored_First_Lost,0_0_Draws,Winners_Goals,Losers_Goals,Draw_Goals
0-15,33,9,5,1,65,33,32,12,4,4,4,47,10,8
16-30,41,12,11,2,65,39,26,14,5,3,2,38,13,14
31-45,34,15,10,3,71,34,37,14,6,2,2,39,10,18
46-60,44,10,9,4,52,32,20,15,5,1,3,37,5,10
61-75,49,7,11,5,72,45,27,16,3,4,1,50,14,8
76-90,52,11,14,6,55,30,25,17,4,1,2,41,6,8
